#{"t_start": 1662329308.1141858, "env_id": null}
r,l,t
-4799.887932,55,0.048868
-7599.870184,83,0.101728
-7799.85512,85,0.167551
-13599.688788,143,0.24438
-4299.828068,50,0.267329
-5199.678956,59,0.294254
-6799.70724,75,0.328162
-7799.774096,85,0.36806
-8599.93082,93,0.409945
-8899.873472,96,0.454785
-14699.752052,153,0.539557
-8299.869624,90,0.625534
-3399.805552,41,0.646478
-2899.82622,36,0.665469
-4999.638284,57,0.692395
-5499.782684,62,0.721319
-6999.682232,77,0.757218
-19999.885824,207,0.8779
-6599.713212,73,0.916796
-16399.704172,171,1.00256
-9399.460428,101,1.055425
-13199.795312,139,1.131231
-14599.915612,153,1.203987
-6399.772796,71,1.238935
-12299.885156,129,1.315725
-4899.81624,56,1.346643
-12399.889848,131,1.409479
-6599.82092,73,1.443396
-5099.750388,58,1.473315
-5899.743272,66,1.510212
-6799.788096,75,1.553085
-2199.752448,29,1.569043
-6999.841124,77,1.61195
-6899.71222,76,1.657816
-12299.85822,130,1.725637
-11899.78278,126,1.793448
-1699.666884,24,1.809406
-12199.871264,129,1.879183
-3699.86396,44,1.900126
-9599.72536,103,1.948
-3599.875656,43,1.969942
-5499.793232,62,2.007869
-4199.724872,49,2.036762
-7499.7758,82,2.082641
-23999.912748,246,2.227257
-5299.771596,60,2.262161
-11399.618568,121,2.328982
-8499.708532,92,2.374858
-6299.76496,70,2.409773
-3499.747384,42,2.434698
-4399.788568,51,2.463621
-10299.872832,110,2.525492
-4499.67682,52,2.552424
-11899.69454,126,2.611269
-5999.693412,67,2.643143
-7399.745252,80,2.688061
-6699.59844,74,2.741914
-6999.843708,77,2.783806
-8699.766468,94,2.83068
-6099.856076,68,2.863587
-5399.72284,61,2.895506
-13999.757588,147,2.983259
-2999.739408,37,3.002224
-6999.75392,77,3.042115
-17644.413319,185,3.143804
-5899.903172,66,3.1827
-12699.680792,134,3.249571
-9599.719664,103,3.305548
-5799.760056,65,3.335458
-3699.785624,44,3.356399
-7899.864308,86,3.401278
-4499.792028,52,3.43119
-16799.842868,175,3.522955
-4899.732632,56,3.548845
-5799.809428,65,3.580761
-5499.820708,62,3.613715
-9447.606212,103,3.674537
-1999.800348,27,3.689498
-6199.76048,69,3.726413
-11299.748936,120,3.784259
-19899.726236,206,3.905964
-11999.910772,127,3.972783
-9999.798564,107,4.029638
-2199.639236,29,4.045624
-3299.925204,40,4.068563
-5899.688624,66,4.104433
-10799.66574,115,4.159284
-13199.71474,139,4.223113
-4699.830484,54,4.250044
-3399.772692,41,4.270985
-5999.735844,67,4.311879
-4999.522456,57,4.356713
-3741.742193,46,4.381675
-2799.765876,35,4.399642
-4299.735624,50,4.423577
-22599.857884,233,4.545249
-1699.8019,24,4.558208
-6499.892788,72,4.603057
-4699.859224,54,4.63397
-13299.816188,140,4.699837
-2899.686156,36,4.716792
-13999.796548,147,4.787597
-6199.843572,69,4.825499
-15399.607064,161,4.926189
-8399.599952,91,4.970124
-4199.762348,49,4.993051
-13199.694348,139,5.066851
-3699.7706,44,5.092772
-24399.661044,251,5.216454
-6299.825124,70,5.248368
-18299.734948,190,5.347102
-4899.609964,56,5.37802
-9199.886028,99,5.442994
-2099.883616,27,5.460947
-9599.644548,103,5.513848
-9199.862424,99,5.572647
-6899.834824,76,5.62055
-13899.79438,146,5.703299
-6899.8002,76,5.740198
-5899.749784,66,5.771118
-8099.64926,88,5.814003
-5299.720108,60,5.848908
-4199.71268,49,5.87687
-5199.787832,59,5.909749
-3299.861684,40,5.932725
-6299.771492,70,5.982382
-3199.72662,39,6.00133
-9599.622232,103,6.051198
-5299.796688,60,6.088062
-8799.722448,95,6.140947
-4799.595108,55,6.170873
-5299.805676,60,6.199801
-9199.808456,99,6.246676
-6999.753376,77,6.283571
-15299.6883,160,6.380279
-11399.677084,121,6.442152
-8599.771528,93,6.496964
