#{"t_start": 1666814621.1547022, "env_id": null}
r,l,t
-2479.99805,256,4.00255
-1319.99861,138,4.88157
-3559.997729,364,9.810133
-2379.998373,244,13.671602
-4099.997986,418,19.404201
-2809.998178,289,21.1862
-1729.998313,179,22.325791
-3719.998514,378,24.820569
-2289.997854,236,26.298146
-2439.99829,251,27.903857
-2229.998399,229,29.404212
-1819.997999,189,30.608713
-4969.997791,505,33.756065
-3419.998343,349,35.940504
-1759.997855,184,37.080272
-2239.998313,231,38.505519
-3459.997776,353,40.702709
-1429.998065,150,41.641363
-3519.99829,359,43.919017
-2439.997849,252,45.512616
-2219.998018,229,46.923789
-3049.997916,312,48.851837
-2919.998218,299,50.712886
-1949.998459,201,51.95303
-479.99898,53,52.297022
-3699.998343,377,54.680785
-4949.998131,502,57.795167
-2289.9981,237,59.297431
-2839.998353,291,61.099331
-3629.998173,370,63.415377
-3319.998549,338,65.525985
-1539.998341,160,66.516534
-1939.997508,202,67.799841
-1319.998721,138,68.682424
-1889.998075,197,69.901658
-2429.998774,248,71.44296
-2849.998622,291,73.307758
-2319.997637,240,74.841188
-2069.998207,214,76.165289
-2229.998227,230,77.602051
-2539.997931,262,79.223789
-2029.997704,211,80.525647
-2349.998532,241,82.039241
-1969.998146,204,83.354895
-2419.997936,250,84.904793
-1409.997874,149,85.85175
-1319.997845,139,86.725791
-3689.997949,376,89.1414
-3249.998484,332,91.20539
-1519.997926,160,92.584246
-2119.998278,219,94.745368
-2519.998157,259,96.360021
-2289.998048,237,97.832643
-1429.998198,150,98.772786
-5059.998059,513,102.075564
-2289.998229,236,103.566684
-1909.998633,197,104.832597
-2189.998423,227,106.261418
-3469.998553,353,108.489248
-1559.997886,164,109.535708
-3329.99834,340,111.653347
-2799.998261,287,113.483582
-4399.998392,446,116.229698
-2379.998244,245,117.809164
-1989.997923,206,119.143855
-1879.997814,196,120.428214
-1739.997951,182,121.560324
-3289.998065,336,123.679526
-1879.99844,195,124.909514
-2069.998549,213,126.245168
-1959.9982,204,127.506177
-2709.998699,277,129.228589
-2129.998419,220,130.63846
-3069.998251,313,132.620531
-1689.998149,177,133.720354
-2769.99792,285,135.530663
-2369.998602,243,137.081798
-2639.998041,272,138.807876
-1179.998227,125,139.611162
-2309.997731,239,141.121265
-1659.998105,173,142.210741
-3599.998282,367,144.589277
-3209.997793,329,146.615062
-2769.998056,284,148.360415
-2799.997986,287,150.129136
-3209.998476,327,152.183667
-1659.998317,173,153.265824
-1529.997682,161,154.267406
-1079.99844,114,154.964576
-4719.998387,480,157.929481
-2249.9989,230,159.351982
-3189.998007,326,161.361554
-4039.998098,411,163.94056
-3659.997973,374,166.240032
-1359.998498,142,167.110357
-2319.998105,239,168.600636
-3809.997899,389,171.062122
-3879.998058,396,173.62464
-1669.998193,173,174.702864
-2399.998439,247,176.232044
-3619.997956,370,178.548991
-2389.998212,246,180.081627
-1739.997866,182,181.247648
-969.997658,105,181.930347
-1009.998074,109,182.616576
-2979.998012,306,184.525745
-4119.998185,419,188.426125
-1209.998744,126,189.266421
-3559.998352,363,191.5341
-3189.99768,327,193.565195
-4489.998139,456,196.381225
-2749.998526,281,198.113219
-2709.998343,277,199.801446
-1829.998682,189,200.951857
-3639.998164,371,203.276901
-2969.998222,305,205.281732
-3029.998375,310,207.223902
-2899.998302,297,209.099377
-2909.998584,297,210.983389
-2859.998053,293,212.863967
-1429.998295,149,213.814385
-3049.998349,312,215.799354
-2679.997978,276,217.524957
-3399.998478,346,219.691979
-2509.998103,259,221.277945
-2919.998078,299,223.128607
-1699.998317,178,224.210438
-1879.998254,195,225.434438
-1709.998124,178,226.528349
-1679.998003,175,227.610127
-1689.998516,175,228.701413
-1699.99894,175,229.772134
-2499.998037,258,231.375909
-1239.998015,132,232.216428
-1319.997806,140,233.117199
-2859.998948,290,235.071193
-1229.99817,129,235.888452
-3199.998073,327,237.905169
-1399.998416,147,238.842944
-2549.998104,262,240.505253
-3909.998338,398,243.068592
-3339.998448,340,245.160377
-3059.997848,314,247.084076
-2969.997981,304,248.983707
-2899.99832,297,250.861197
-1349.998871,141,251.782579
-1419.998134,150,252.771137
-2749.998406,282,254.540097
-2819.997881,289,256.380518
-1049.998687,111,257.062834
-2369.997954,244,258.590607
-3809.998122,388,261.050388
-2089.998401,215,262.406456
-2959.998371,303,264.364503
-5579.997948,566,267.922874
-3089.998974,314,269.876861
-1619.998544,168,270.966264
-1869.998459,193,272.169429
-2799.998152,287,274.019159
-2309.997752,239,275.547953
-2989.998156,306,277.483464
-1169.99804,124,278.271501
-2669.998735,273,279.972416
-1669.998379,173,281.083956
-1999.998166,208,282.404129
-1369.998293,144,283.297704
-2939.997873,301,285.186639
-1159.998231,123,285.969352
-1549.997725,163,286.981494
-2979.997884,306,288.855745
-2299.997908,237,290.352216
-1669.997942,174,291.451198
-3229.99841,329,293.572899
-1309.998174,137,294.43687
-4559.998613,462,297.335804
-2589.998397,265,299.010614
-2479.998178,255,300.659656
-1799.998738,185,301.81949
-3739.997968,382,304.299558
-2829.998358,290,306.119308
-2529.998072,260,307.755769
-2159.998229,223,309.155348
-689.997959,77,309.649525
-3129.998075,320,311.649558
-4539.998146,461,314.552371
-2319.998024,239,316.097347
-3309.998169,338,318.192639
-4029.998154,410,320.767005
-2959.998358,303,322.676989
-1359.998165,143,323.632438
-1659.99828,173,324.71127
-1009.998501,107,325.373568
-3119.998565,318,327.378229
-3959.997951,404,330.856981
-2339.998375,241,332.579993
-3899.998056,397,335.389238
-2949.998355,302,337.509696
-1599.998081,167,338.689121
-2579.998428,265,340.573041
-1859.997784,194,341.979834
-2719.997898,280,343.998709
-3489.998064,356,346.488306
-3329.998365,339,348.832191
-2569.998576,263,350.685631
-3009.998201,308,352.882885
-4979.998008,505,356.462962
-2459.998133,253,358.326095
-2969.998062,305,360.481137
-3729.998562,379,363.216148
-3299.998317,337,365.656835
-2939.997921,302,367.832814
-3019.997841,310,370.028514
-1859.997751,194,371.511754
-2739.99818,281,374.757525
-2469.997836,255,376.606951
-4729.99822,480,380.040401
-4869.998125,495,383.585363
-2809.997603,289,385.621492
-4239.997812,432,388.762171
-4499.997867,458,392.144734
-2889.998246,296,394.346761
-1579.998248,165,395.564821
-4689.998352,476,399.079988
-1959.998571,202,400.558045
-7539.997953,762,406.156668
-3399.998312,346,408.645691
-1859.998501,192,410.016126
-4839.998236,491,413.487567
-3769.997752,385,416.2154
-3659.998718,372,418.80647
-2979.998188,305,420.916397
-1809.998295,188,422.231154
-2219.998682,228,423.91308
-4189.998418,425,427.005855
-1479.998692,154,428.137652
-2609.998224,268,430.060422
-3599.998424,367,432.732401
-2679.998181,275,434.7526
-2199.998452,226,436.390924
-3219.998069,330,438.773889
-4409.99804,448,441.981297
-2919.997889,300,444.114102
-3019.998432,308,446.31245
-3059.997909,313,448.539412
-3209.997968,329,450.855595
-3409.998089,348,453.357451
-3709.997586,380,456.094075
-3799.997955,387,458.863613
-2599.997925,268,460.832057
-2269.998567,233,462.514642
-1749.99797,183,463.791039
-3379.998549,344,466.237009
-1549.998477,161,467.382997
-2629.998602,269,469.254478
-2599.998098,267,471.154632
-3489.998257,356,473.706655
-2919.998142,299,475.865523
-2569.998468,263,477.713829
-5159.99843,522,481.382331
-3329.998749,338,483.800232
-2399.997729,248,485.579113
-2749.998199,281,487.586922
-5689.998081,576,491.697443
-3209.997718,329,494.126982
-4489.997932,457,497.402442
-6449.997785,653,502.032195
-3939.998251,401,504.865409
-2099.998468,217,506.397532
-2719.997972,280,508.427999
-1609.998107,168,509.655212
-2519.997942,260,511.515943
-2679.998192,275,513.519164
-2959.998442,303,515.677705
-1559.997799,164,516.836632
-4169.998321,423,519.881603
-3739.99852,380,522.588452
-1369.998662,143,523.617496
-2869.997954,294,525.751812
-3359.998576,342,528.161595
-1669.997768,175,529.397074
-3329.998496,339,531.808803
-5119.997945,520,535.519526
-2979.997802,306,537.716482
-3059.998232,313,539.928091
-3569.998005,364,542.512801
-4289.998018,436,545.659786
-3729.99825,380,548.346473
-4199.9984,426,551.371449
-2689.998507,275,553.352242
-1459.997808,153,554.456954
-2699.998179,277,556.493464
-2959.997784,304,560.012756
-1279.998434,134,560.977922
-4089.997523,417,563.913261
-2469.998413,253,565.683637
-3739.998037,381,568.397316
-1439.997677,152,569.459682
-2169.998816,222,571.022413
-2769.998033,284,573.044179
-2609.998658,267,574.971825
-3239.997999,331,577.342115
-3529.997938,361,579.933629
-2669.998189,274,581.986057
-1209.998558,127,582.905133
-1399.997734,148,583.988875
-1979.99848,204,585.458318
-3799.998253,387,588.268653
-3319.997895,340,590.713416
-4059.998081,413,593.750494
-1849.998667,191,595.159984
-3229.998535,329,597.501359
-3559.998248,364,600.093452
-3359.998403,342,602.536028
-4289.997842,437,605.731931
-2799.998062,287,607.729669
-769.998986,82,608.319582
-1759.998433,182,609.608429
-2979.998616,304,611.851503
-2429.998475,249,613.618422
-3699.997936,378,616.380696
-2859.998517,292,618.475107
-1809.998043,188,619.828495
-3869.998246,394,622.618703
-3239.99777,332,624.978946
-2349.997941,243,626.779665
-1129.998341,119,627.631979
-3429.998784,348,630.136073
-6249.998336,632,634.68165
-1739.998422,180,635.977154
-4399.998197,447,639.149864
-2179.998207,225,640.760578
-3509.998237,357,643.314814
-2199.998753,226,644.938516
-3639.998443,370,647.5304
-5549.998008,563,651.531156
-4519.997792,460,654.852628
-959.998035,103,655.585864
-1819.99861,188,656.975131
-3919.99841,398,660.206455
-1189.998425,125,661.173769
-2929.998469,299,663.453919
-929.998399,99,664.182208
-3489.997959,357,666.811094
-1369.998284,143,667.863976
-399.998756,46,668.199237
-2329.998528,239,669.918797
-3529.998247,359,672.600597
-1349.997917,142,673.664447
-2459.998633,252,675.569383
-3379.998304,345,678.108801
-2479.998369,255,679.985166
-1889.998447,194,681.450447
-2939.99839,301,683.647363
-3089.998035,316,686.002456
-4169.997766,425,689.299915
-2209.998702,226,691.136935
-1219.998698,127,692.172495
-2679.998297,275,694.404649
-2619.998557,269,696.460053
-1619.998237,169,697.719746
-3379.997972,346,700.313935
-2129.998682,219,701.872553
-3209.998592,326,704.240202
-2649.998197,272,706.157977
-3229.998542,330,708.528024
-2909.99844,297,710.634064
-4289.997915,437,713.725509
-1409.998259,148,714.776637
-1699.998384,177,716.05131
-3099.997413,319,718.313888
-1819.99849,188,719.694309
-4209.998722,427,722.690621
-5479.997743,556,726.657173
-2059.998638,212,728.224188
-1499.998136,158,729.334923
-999.998545,105,730.076622
-4249.998065,432,733.121494
-2019.998573,208,734.643188
-2009.998448,207,736.126982
-3519.998178,360,738.659534
-4379.997945,446,741.869381
-2669.997666,275,745.108609
-269.998476,33,745.346086
-2189.998028,227,746.985781
-2719.998509,278,748.985613
-1579.997955,165,750.159582
-3279.998123,335,752.575827
-1709.998065,178,753.853844
-2499.998616,256,755.696594
-1959.998031,204,757.171122
-5579.998954,563,761.243366
-3459.99788,354,763.873894
-1919.998151,199,765.349534
-3409.998159,348,767.83956
-3719.998368,378,770.569344
-1059.998714,111,771.371484
-999.998173,107,772.146974
-2479.99828,255,773.967517
-1509.998864,156,775.068485
-2949.998399,301,777.200871
-2579.997802,266,779.091512
-4229.99823,430,782.159466
-2169.99812,224,783.761612
-2329.998274,240,785.474084
-5519.99832,558,789.484666
-799.998286,86,790.09156
-4669.998294,474,793.479957
-2259.998122,234,795.245245
-3169.998047,324,797.596503
-2549.998628,261,799.49127
-2119.998063,219,801.078235
-2519.998504,258,802.951216
-3919.998413,399,805.773618
-3519.998845,357,808.361632
-1549.998567,161,809.511542
-2769.998054,284,811.514839
-2409.998362,247,813.274263
-4039.997848,411,816.187118
-4569.998539,463,819.429813
-4269.997847,434,822.508768
-5719.997879,579,826.627453
-3189.99798,326,829.016533
-2899.998431,296,831.106284
-3099.998262,317,833.340609
-2119.998357,218,834.881687
-1869.997879,195,836.250542
-2989.998366,305,838.410491
-3289.997907,337,840.758886
-5249.997804,533,844.567589
-2759.998237,282,846.556335
-3459.998134,353,849.12644
-2079.998446,214,850.661391
-4939.997858,502,854.298896
-2559.998396,263,856.223115
-3479.998431,354,858.788832
-3899.998078,397,861.669415
-4689.998414,476,865.03163
-2619.998151,269,866.967686
-3769.998144,384,869.739387
-4039.99763,412,872.690527
-3159.998538,322,874.958594
-1789.998453,187,876.294968
-3559.997815,364,878.833682
-5549.998684,561,882.814761
-3799.998403,386,885.556366
-3069.998038,315,887.836174
-3589.998127,367,890.480511
-3109.99847,317,892.778449
-5419.998007,549,896.821817
-2829.998276,289,898.89243
-3599.997781,368,901.555984
-2349.997835,242,903.302567
-4159.998421,423,906.303841
-2609.998608,267,908.252938
-3229.998078,330,910.613328
-1879.998565,194,912.032838
-1699.998245,177,913.330234
-7769.997957,785,919.05782
-3119.99812,319,921.339857
-2049.998458,211,922.886141
-4369.998516,443,926.073864
-2829.998467,289,928.823526
-2979.998531,304,931.647942
-5899.998008,598,935.908927
-6079.998695,614,940.3046
-2419.997952,249,942.093891
-2069.998143,214,943.6169
-2179.998584,224,945.197596
-5479.998046,556,949.206734
-4879.997815,495,952.738834
-1589.998404,165,953.93537
-3349.998502,341,956.374305
-5739.998072,581,960.635491
-2999.998604,306,962.83831
-2989.998825,304,965.025577
-3199.998193,327,967.367564
-6529.997623,661,972.151831
-1249.998238,133,973.108454
-1769.997782,185,974.467277
-4019.998474,408,977.385474
-1629.998279,170,978.637184
-5879.997963,595,982.867535
-4149.99811,422,985.866884
-3279.998337,335,988.265061
-2339.998437,240,990.02469
-2839.99835,290,992.089114
-4299.998405,437,995.231232
-4959.997949,504,998.877299
