#{"t_start": 1667320887.616259, "env_id": null}
r,l,t
-3454.588051,354,14.767806
-1055.294933,112,15.847985
-3524.716148,360,17.893381
-1294.911532,137,18.675946
-2004.483925,208,22.167873
-2774.471941,285,23.798588
-2714.175207,280,25.42134
-1285.718548,135,26.196627
-1775.226583,185,27.295128
-1674.480582,175,28.271237
-1334.704119,141,29.07607
-1044.601822,112,29.712
-2405.623352,247,31.11921
-1304.87466,138,31.895147
-1734.792806,181,32.959479
-2115.066058,218,34.183684
-2614.933805,269,35.750388
-2393.990089,248,37.180827
-2175.168148,224,38.492505
-5044.825069,512,41.444847
-3293.852829,338,43.368967
-2253.325521,234,44.700213
-3245.145874,331,46.590886
-1485.305628,155,47.532565
-3304.296378,338,49.459784
-3074.625701,315,51.249475
-2263.81979,235,52.575698
-4204.705941,428,54.980561
-1995.723912,206,56.179356
-2835.398983,290,57.82527
-2204.47045,228,59.119208
-1925.079806,199,60.261992
-4714.446161,479,63.002884
-1384.796435,146,63.868928
-3414.58892,349,65.857542
-2984.832729,305,67.650173
-2214.979195,229,68.982846
-2103.609338,219,70.239068
-1794.198169,188,71.346508
-2193.393541,228,72.670562
-1444.412648,153,73.632169
-4774.438669,486,76.641591
-3484.008513,357,78.738718
-1504.568062,158,79.707706
-1624.417848,170,80.70973
-1035.119211,110,81.343871
-3024.807287,310,83.118962
-4014.564815,409,85.494675
-1373.552041,146,86.343186
-2655.367799,272,87.957803
-2024.950496,209,89.765017
-1645.315501,171,91.254629
-5303.591136,539,94.4168
-3025.514761,309,96.223855
-4254.964329,432,98.81558
-1893.590329,198,99.98642
-1943.900978,203,101.195751
-1585.543533,165,102.169333
-1194.979917,126,102.902143
-2255.712787,232,105.46302
-5304.017369,539,108.718355
-1794.589949,187,109.817941
-5014.379383,510,112.794185
-2233.771983,232,114.121533
-1314.650379,139,114.937674
-1344.087674,143,115.768723
-4754.570436,483,118.560627
-1235.627366,130,119.306421
-2705.204855,278,120.926317
-1754.897032,182,121.999396
-3795.024512,387,124.25061
-2663.448238,275,125.82795
-2874.743479,295,127.554613
-3863.621018,395,129.817781
-1785.082877,186,130.876341
-2594.095853,268,132.399919
-3913.29764,400,134.732421
-2194.052945,228,136.125913
-3653.622009,374,138.484588
-1414.03159,150,139.371182
-2745.080665,281,141.004204
-4434.838486,451,143.586924
-1684.19725,176,144.59193
-2255.238942,232,145.937255
-1405.689391,147,146.798647
-1783.184053,187,147.883542
-2025.01116,210,149.129163
-2343.514151,243,150.539035
-985.107731,105,151.166883
-2394.142658,247,152.633583
-2245.274732,231,153.954244
-2054.92915,212,155.151618
-2414.814122,249,156.680169
-3493.623486,358,158.780087
-2434.460928,251,160.261471
-2254.382344,233,161.627039
-3213.940928,330,163.568847
-1415.245178,148,164.447063
-1884.433873,196,165.59419
-2854.508884,293,167.295858
-1984.314675,206,168.541684
-3833.327911,392,170.820436
-2064.166352,214,172.067545
-2214.351709,229,173.385971
-3264.580299,334,175.362515
-2155.478938,222,176.631775
-2304.45399,238,177.976721
-2075.349515,215,179.21161
-2095.417597,216,180.467402
-974.827626,105,181.071586
-2445.468269,251,182.556103
-1985.351443,206,183.715638
-2853.956455,294,185.404438
-1674.597984,175,186.419465
-3764.688636,385,188.683194
-1536.10249,159,189.605506
-2724.434455,280,191.2408
-3244.83749,331,193.152368
-2233.288959,232,194.503477
-2663.880199,275,196.252044
-2655.155415,272,197.844095
-4153.736108,424,201.530086
-1835.271464,190,202.639944
-2403.927518,248,204.070796
-1595.043492,167,205.049946
-2134.544722,222,206.363209
-2835.442814,290,208.030058
-2924.453894,301,209.749208
-3605.11498,367,211.93113
-945.758025,100,212.507596
-2245.591508,231,213.834066
-5104.696109,518,216.869907
-3323.644866,341,218.864078
-3723.873844,381,221.073216
-1772.838427,185,222.172757
-1855.328586,192,223.300404
-2305.476819,237,224.714365
-2943.271286,303,226.477367
-2174.636374,225,227.775555
-3283.815953,337,229.780287
-3004.651554,308,231.563253
-2163.81081,225,232.830924
-2955.165399,302,234.550756
-3405.131746,347,236.569527
-2415.026151,248,238.038902
-3064.56172,314,239.826113
-3745.324531,382,242.054613
-735.514716,80,242.530283
-2374.848796,245,243.923664
-1653.585682,174,244.930708
-1403.879913,148,245.794156
-3913.905257,400,248.124944
-3984.650085,406,250.452651
-2604.821992,268,252.008899
-2292.999221,238,253.374073
-2384.565776,246,254.793408
-3494.616607,357,256.994378
-1983.20328,207,258.207315
-3885.370812,395,260.560983
-2475.012471,254,262.038718
-2424.325133,250,263.496376
-1945.617804,201,264.692705
-3634.433837,372,266.856689
-2814.20629,290,268.532392
-2233.760466,232,269.874304
-2394.660275,247,271.327118
-1963.870453,205,272.484892
-2236.069685,229,273.826968
-2484.66127,256,275.335469
-1514.872699,159,276.267781
-1144.431292,122,276.958991
-2183.587186,227,278.278114
-3184.119988,327,280.200982
-2504.094931,259,281.726821
-2005.521932,207,282.94587
-3275.56715,334,284.878162
-3503.720545,359,287.006633
-1944.052305,203,288.166673
-2714.515216,279,289.818819
-4534.645172,461,292.537261
-3535.160814,360,294.628175
-2853.511316,294,296.322151
-1955.368707,202,297.56331
-2795.315353,286,299.201627
-3373.745928,346,301.215849
-1554.951953,162,302.150528
-5894.088065,597,305.659903
-2134.117589,221,306.938374
-4344.968274,441,309.51144
-874.657421,94,310.070451
-1076.050092,114,313.754391
-1724.376447,181,314.972037
-5094.692828,517,318.471455
-4214.685427,429,321.485256
-2704.670086,278,323.315234
-3133.77153,322,325.458351
-3435.26865,351,327.798126
-3663.866757,375,330.258125
-2195.905359,226,331.777266
-2574.606206,265,333.530247
-7733.775731,782,338.761726
-1826.243781,188,340.00242
-1385.089996,145,340.995259
-5604.209833,568,344.781327
-1755.049146,182,345.994029
-3503.517199,359,348.482722
-3885.099665,396,352.28348
-2953.497634,304,354.31122
-2023.471534,211,355.754684
-2163.516989,225,357.25415
-1565.877337,162,358.350721
-2664.354066,274,360.138057
-3643.305117,373,362.632566
-5193.859319,528,366.159117
-1224.012292,130,367.02873
-2694.468602,277,368.890584
-1744.322248,182,370.12306
-1724.457871,180,371.328357
-4475.258092,454,374.385898
-1854.953644,192,375.689339
-2834.272789,291,377.66967
-3103.661577,319,379.840404
-2544.372298,262,381.584862
-2803.351335,289,383.543186
-1715.151868,178,384.743206
-4463.722973,455,387.79237
-4354.387233,443,390.977481
-2082.521464,217,392.459124
-2625.121754,269,394.285762
-1832.980678,192,395.606449
-1015.876863,110,396.352979
-2374.311363,245,398.038407
-2543.975171,263,399.92646
-1854.634578,193,401.327128
-1554.598579,163,402.443135
-523.125973,61,402.870821
-454.314077,54,403.242981
-184.313277,27,403.437645
-814.278953,90,404.038402
-224.346165,31,404.25636
-132.0,22,404.422051
-123.901514,21,404.570105
-274.26761,36,404.822625
-384.260906,47,405.147931
-114.338094,20,405.297323
-204.301139,29,405.525868
-394.512588,48,405.852879
-454.283562,54,406.213089
-334.366212,42,406.514687
-373.018596,46,406.854042
-273.667536,36,407.106555
-174.220209,26,407.284965
-114.071331,20,407.432066
-214.318318,30,407.648851
-185.163717,27,407.828897
-315.193198,40,408.108596
-224.34852,31,408.326186
-464.163718,55,408.716263
-504.911146,59,409.122631
-304.724496,39,409.396331
-412.580725,50,409.764592
-254.334123,34,409.997959
-234.073438,32,410.216627
-155.429672,22,410.376405
-256.0,30,410.595409
-305.319469,38,410.857728
-493.355933,58,411.253291
-188.990429,21,411.39907
-350,35,411.6548
-240,24,411.816772
-316.975082,36,412.075901
-181.820726,27,412.261272
-383.865789,47,412.58824
-154.239853,24,412.754142
-214.292586,30,412.962369
-163.653765,25,413.126042
-124.311359,21,413.27757
-603.983816,69,413.748075
-373.659026,46,414.054373
-184.110028,27,414.238938
-113.418084,19,414.374388
-344.269806,43,414.67653
-293.720098,38,414.961504
-277.791427,31,415.189189
-305.016916,38,415.449073
-300,30,415.661216
-383.665631,46,415.963374
-303.377555,39,416.232679
-356.318965,41,416.578671
-496.275578,54,416.951363
-293.114197,37,417.207801
-443.014091,53,417.570365
-299.110204,31,417.806735
-400,40,418.085113
-110,11,418.159427
-240,24,418.330545
-219.370474,23,418.49385
-315.514978,37,418.752893
-459.219128,47,419.06554
-305.968756,36,419.326845
-213.494035,29,419.544346
-336.130611,40,419.825687
-230,23,419.979194
-303.218586,38,420.229673
-589.528089,60,420.639941
-430,43,420.929947
-352.928802,43,421.224349
-206.947673,27,421.403828
-430,43,421.710298
-300,30,421.911422
-187.640443,24,422.092023
-393.305373,46,422.438942
-164.0877,23,422.607206
-293.207027,36,422.865617
-380,38,423.140002
-210,21,423.293478
-319.080939,33,423.523775
-353.88567,42,423.869813
-280,28,424.055077
-166.028868,24,424.224692
-280,28,424.429502
-570,57,424.832496
-389.094414,40,425.102507
-190,19,425.235854
-328.220587,35,425.472069
-608.587413,63,425.897008
-330,33,426.116887
-440,44,426.420096
-125.142348,20,426.559165
-216.119208,29,426.756598
-530,53,427.135624
-250,25,427.30466
-270,27,427.499818
-320,32,427.712949
-286.796657,34,427.943463
-499.165897,51,428.298782
-483.236197,56,428.675922
-454.124143,53,429.043899
-272.271794,36,429.302283
-306.18541,36,429.54986
-247.471058,28,429.744412
-400,40,430.024846
-240,24,430.187495
-205.630959,29,430.384076
-340,34,430.686846
-394.65495,47,431.011573
