#{"t_start": 1667235499.4108922, "env_id": null}
r,l,t
-2316.916667,239,10.231394
-3197.166667,326,15.166049
-1357.833333,143,17.155342
-1627.25,170,18.271799
-2486.75,256,21.349526
-1348.083333,142,22.14472
-4477.0,455,24.669394
-2566.916667,262,26.136816
-2106.333333,218,27.415656
-2216.333333,230,28.721176
-5516.916667,559,31.888196
-1156.083333,123,32.597121
-1636.25,170,33.563984
-2576.5,266,35.089515
-2476.75,254,36.527613
-3837.083333,391,38.735821
-2157.416667,223,39.997085
-2516.583333,259,41.593351
-3186.916667,327,43.455422
-1347.0,141,44.273676
-4667.5,475,46.984279
-1038.166667,110,47.606593
-3477.833333,355,49.642008
-1717.083333,178,50.644215
-2196.25,228,51.946694
-3266.75,335,53.830192
-2785.333333,287,55.483211
-4176.75,425,57.927049
-1517.333333,158,58.848027
-3506.5,358,60.905381
-2907.083333,297,62.609756
-936.666667,100,63.182896
-3198.166667,326,65.107259
-2367.583333,244,66.49846
-2237.666667,232,67.847862
-5387.666667,545,70.930495
-2047.25,211,72.163888
-2567.25,264,73.666423
-5138.416667,521,76.633958
-2117.666667,219,78.033674
-2506.916667,257,79.522003
-4207.333333,429,81.944985
-2966.666667,305,84.747873
-2036.666667,212,85.962257
-958.333333,102,86.553521
-1757.583333,184,87.620729
-3626.416667,370,89.757145
-2156.666667,222,91.03338
-2667.5,274,92.594578
-1816.833333,188,93.666129
-1867.833333,193,94.770016
-3225.833333,331,96.651451
-2306.75,238,98.124367
-1275.416667,136,98.924943
-2648.333333,270,101.141259
-2725.833333,280,103.30528
-4526.75,459,105.958213
-2917.75,299,107.653494
-2346.75,242,109.068892
-1837.166667,192,110.180677
-2226.916667,231,111.503639
-1127.75,120,112.201861
-3236.916667,331,114.0961
-2597.5,267,115.621627
-3897.166667,397,117.927442
-2577.333333,265,119.467999
-2846.833333,293,121.167707
-2467.0,254,122.60451
-3426.75,350,124.660372
-4986.75,506,127.571203
-2687.166667,277,129.173494
-2436.75,251,130.61539
-2306.166667,239,131.999162
-1796.666667,188,133.104731
-3465.583333,354,135.138887
-4626.75,471,137.817677
-1736.75,180,139.017403
-1417.166667,148,139.893779
-4266.0,435,142.459048
-1837.083333,192,143.57888
-4987.166667,506,146.533357
-3486.75,357,148.675036
-1456.666667,151,149.550703
-2416.75,249,151.028212
-2856.916667,294,152.725564
-3896.833333,396,154.994952
-1586.25,167,155.969312
-1607.333333,168,156.960025
-4346.75,442,159.655449
-1947.166667,203,160.849542
-2777.083333,286,162.532901
-3786.583333,386,164.766112
-3107.25,317,166.616431
-3677.0,375,168.816342
-2876.666667,295,170.509105
-4816.666667,490,173.346678
-2366.333333,244,174.757445
-3395.916667,347,176.731431
-1737.916667,179,177.777837
-1933.916667,202,178.938904
-3856.083333,394,181.217398
-2077.0,214,182.446268
-2037.583333,212,183.651085
-2866.583333,294,185.384919
-2977.083333,304,187.230072
-1316.666667,138,188.041037
-2107.083333,218,189.358022
-2515.666667,259,190.889542
-2276.666667,235,192.239051
-1757.083333,183,193.278889
-2686.333333,277,194.859615
-1486.25,157,195.762519
-3248.416667,332,197.674817
-3057.166667,314,199.593208
-4196.5,428,202.046602
-2787.166667,285,203.662665
-3806.083333,388,205.861424
-4177.25,424,208.255995
-1938.25,200,209.39323
-2837.416667,290,211.036555
-3996.833333,406,213.339791
-1717.083333,178,214.364485
-2239.0,231,215.679236
-2457.0,254,217.139077
-2157.583333,221,218.415155
-2337.75,241,219.815235
-1466.0,155,220.692483
-1547.833333,161,221.630683
-1946.75,202,222.798265
