#{"t_start": 1669313944.8602297, "env_id": null}
r,l,t
-2197.469814,227,4.492397
-1946.803228,203,7.374203
-1656.347837,174,10.02283
-3147.982457,321,14.749295
-1477.860248,154,15.689833
-3617.650594,368,17.755716
-2006.876556,209,18.941278
-3207.16017,329,20.81877
-2947.473081,302,22.578493
-2457.475941,252,24.007314
-4296.985317,438,26.530781
-586.97065,67,26.930278
-1887.151153,196,28.068611
-3017.13211,310,29.876827
-2498.066992,256,31.340686
-3857.018281,394,33.600799
-4047.671523,412,35.961728
-4127.285718,420,38.43907
-1877.109935,196,39.594661
-2766.643756,285,41.245683
-1836.778716,192,42.428303
-3457.134997,354,44.472491
-2817.627589,288,46.161813
-4627.524828,471,48.86233
-3647.193406,372,50.992754
-1967.477238,203,52.142539
-867.670593,93,52.659351
-3627.66563,370,54.734364
-1657.362869,174,55.757465
-2197.082792,228,57.072357
-3357.346059,344,59.03446
-1926.833049,201,60.228367
-1017.752625,108,60.85584
-1667.485222,173,61.846092
-2007.290806,208,63.005187
-1467.14297,155,63.886057
-1507.737183,157,64.762989
-1417.278022,149,65.593112
-2697.535141,277,67.167353
-2018.228794,208,68.358046
-1278.007581,133,69.131862
-1777.166723,186,70.184186
-2437.127582,251,71.666676
-2137.595912,220,72.934209
-2697.533212,276,74.492507
-1527.932899,159,75.425465
-3557.428446,363,77.497454
-2417.42623,248,78.905385
-2747.38056,282,81.251041
-3447.896886,351,83.578667
-1868.201387,193,84.666395
-3087.164817,317,86.472543
-1977.335266,205,87.64621
-1917.222668,199,88.775167
-2817.956029,288,90.389551
-3266.929953,334,92.301822
-2387.606834,245,93.683124
-2927.385493,300,95.373443
-3687.451527,376,97.514688
-3197.582282,326,99.311872
-1238.042253,130,100.049301
-2926.689616,301,101.824214
-1608.20152,166,102.798841
-2937.85607,300,104.524056
-2157.828093,223,105.821228
-3257.362409,333,107.874603
-3557.121874,363,109.962281
-2927.279829,300,111.654522
-2148.138141,221,112.896057
-1867.235426,194,114.002081
-1857.957177,192,115.096675
-1457.569301,153,115.96015
-2227.75681,230,117.243814
